system,reference,model,domain,metric,value
mbr,history_mean,gru_s7,process,grid_mean,3.189948138628171
mbr,history_mean,gru_s7,process,grid_min,2.5430249530238496
mbr,history_mean,gru_s7,process,normalized_trapezoid,3.1225558208693474
mbr,history_mean,mlp_s123,process,grid_mean,0.9549775687782844
mbr,history_mean,mlp_s123,process,grid_min,0.9249912926287611
mbr,history_mean,mlp_s123,process,normalized_trapezoid,0.9491988604640943
mbr,history_mean,mlp_s42,process,grid_mean,1.4841002243977826
mbr,history_mean,mlp_s42,process,grid_min,1.3840173119962993
mbr,history_mean,mlp_s42,process,normalized_trapezoid,1.470875282714145
mbr,history_mean,mlp_s7,process,grid_mean,2.037197524528427
mbr,history_mean,mlp_s7,process,grid_min,1.821957656051432
mbr,history_mean,mlp_s7,process,normalized_trapezoid,2.0142713623663027
mbr,history_mean,ridge,process,grid_mean,1.4724566188022774
mbr,history_mean,ridge,process,grid_min,1.4067870453791247
mbr,history_mean,ridge,process,normalized_trapezoid,1.4635375045569092
mbr,drift,gru_s123,process,grid_mean,6.377204139346425
mbr,drift,gru_s123,process,grid_min,5.536754941117903
mbr,drift,gru_s123,process,normalized_trapezoid,6.319207446482897
mbr,drift,gru_s42,process,grid_mean,8.622300526833987
mbr,drift,gru_s42,process,grid_min,6.7891115780422675
mbr,drift,gru_s42,process,normalized_trapezoid,8.460498559102632
mbr,drift,gru_s7,process,grid_mean,8.5146880339791
mbr,drift,gru_s7,process,grid_min,6.741907575547044
mbr,drift,gru_s7,process,normalized_trapezoid,8.361768892782441
mbr,drift,mlp_s123,process,grid_mean,2.5492004527651897
mbr,drift,mlp_s123,process,grid_min,2.4522786517189203
mbr,drift,mlp_s123,process,normalized_trapezoid,2.541706269956479
mbr,drift,mlp_s42,process,grid_mean,3.9615951840314274
mbr,drift,mlp_s42,process,grid_min,3.6692195211615757
mbr,drift,mlp_s42,process,normalized_trapezoid,3.93867092496579
mbr,drift,mlp_s7,process,grid_mean,5.438021577631209
mbr,drift,mlp_s7,process,grid_min,4.830259376359287
mbr,drift,mlp_s7,process,normalized_trapezoid,5.3938782056686225
mbr,drift,ridge,process,grid_mean,3.930597789414358
mbr,drift,ridge,process,grid_min,3.7295852040874626
mbr,drift,ridge,process,normalized_trapezoid,3.9190323425786007
mbr,ar1,gru_s123,process,grid_mean,2.4052292239778477
mbr,ar1,gru_s123,process,grid_min,2.182639969492539
mbr,ar1,gru_s123,process,normalized_trapezoid,2.3920257202518584
mbr,ar1,gru_s42,process,grid_mean,3.2477694590998607
mbr,ar1,gru_s42,process,grid_min,2.6763305302776756
mbr,ar1,gru_s42,process,normalized_trapezoid,3.199231964868773
mbr,ar1,gru_s7,process,grid_mean,3.207477541013201
mbr,ar1,gru_s7,process,grid_min,2.6577222762260164
mbr,ar1,gru_s7,process,normalized_trapezoid,3.1620789835478065
mbr,ar1,mlp_s123,process,grid_mean,0.962735336824903
mbr,ar1,mlp_s123,process,grid_min,0.9599986506993574
mbr,ar1,mlp_s123,process,normalized_trapezoid,0.9631360446828984
mbr,ar1,mlp_s42,process,grid_mean,1.4953694553448622
mbr,ar1,mlp_s42,process,grid_min,1.4464402468411488
mbr,ar1,mlp_s42,process,normalized_trapezoid,1.4918901717868678
mbr,ar1,mlp_s7,process,grid_mean,2.051572940517477
mbr,ar1,mlp_s7,process,grid_min,1.904132888303207
mbr,ar1,mlp_s7,process,normalized_trapezoid,2.0422171305622623
mbr,ar1,ridge,process,grid_mean,1.4842061514580687
mbr,ar1,ridge,process,grid_min,1.470236956961238
mbr,ar1,ridge,process,normalized_trapezoid,1.4848660543572985
tep,persistence,gru_s123,actuation_idv14,grid_mean,1.2906791700189528
tep,persistence,gru_s123,actuation_idv14,grid_min,1.036732864334764
tep,persistence,gru_s123,actuation_idv14,normalized_trapezoid,1.138592193519332
tep,persistence,gru_s2024,actuation_idv14,grid_mean,1.294200081684193
tep,persistence,gru_s2024,actuation_idv14,grid_min,1.0375598310253862
tep,persistence,gru_s2024,actuation_idv14,normalized_trapezoid,1.1418971864643686
tep,persistence,gru_s31337,actuation_idv14,grid_mean,1.2888091262819168
tep,persistence,gru_s31337,actuation_idv14,grid_min,1.0351487259901093
tep,persistence,gru_s31337,actuation_idv14,normalized_trapezoid,1.1361739034604081
tep,persistence,gru_s42,actuation_idv14,grid_mean,1.2886314724221468
tep,persistence,gru_s42,actuation_idv14,grid_min,1.0304176204173296
tep,persistence,gru_s42,actuation_idv14,normalized_trapezoid,1.1345345341712918
tep,persistence,gru_s7,actuation_idv14,grid_mean,1.2890465081438585
tep,persistence,gru_s7,actuation_idv14,grid_min,1.0274890045987748
tep,persistence,gru_s7,actuation_idv14,normalized_trapezoid,1.1327052001039564
tep,persistence,mlp_s123,actuation_idv14,grid_mean,1.3605193608777244
tep,persistence,mlp_s123,actuation_idv14,grid_min,1.1783427496789651
tep,persistence,mlp_s123,actuation_idv14,normalized_trapezoid,1.2503372112879085
tep,persistence,mlp_s2024,actuation_idv14,grid_mean,1.3544306910518755
tep,persistence,mlp_s2024,actuation_idv14,grid_min,1.1826188175626828
tep,persistence,mlp_s2024,actuation_idv14,normalized_trapezoid,1.2474671736996377
tep,persistence,mlp_s31337,actuation_idv14,grid_mean,1.3628024927161657
tep,persistence,mlp_s31337,actuation_idv14,grid_min,1.1749754738013747
tep,persistence,mlp_s31337,actuation_idv14,normalized_trapezoid,1.2495188140599742
tep,persistence,mlp_s42,actuation_idv14,grid_mean,1.3543820717308015
tep,persistence,mlp_s42,actuation_idv14,grid_min,1.173579336547628
tep,persistence,mlp_s42,actuation_idv14,normalized_trapezoid,1.2460838496633975
tep,persistence,mlp_s7,actuation_idv14,grid_mean,1.3518445732040039
tep,persistence,mlp_s7,actuation_idv14,grid_min,1.175594627603371
tep,persistence,mlp_s7,actuation_idv14,normalized_trapezoid,1.2452036861393554
tep,persistence,ridge,actuation_idv14,grid_mean,1.3774518291580673
tep,persistence,ridge,actuation_idv14,grid_min,1.1679101431427468
tep,persistence,ridge,actuation_idv14,normalized_trapezoid,1.2636438836405444
tep,history_mean,gru_s123,actuation_idv14,grid_mean,1.12539238510449
tep,history_mean,gru_s123,actuation_idv14,grid_min,0.8425423259728619
tep,history_mean,gru_s123,actuation_idv14,normalized_trapezoid,0.9512241967481385
tep,history_mean,gru_s2024,actuation_idv14,grid_mean,1.1283922706228873
tep,history_mean,gru_s2024,actuation_idv14,grid_min,0.8452206267381804
tep,history_mean,gru_s2024,actuation_idv14,normalized_trapezoid,0.9539662675427701
tep,history_mean,gru_s31337,actuation_idv14,grid_mean,1.1238734852121364
tep,history_mean,gru_s31337,actuation_idv14,grid_min,0.8403649010482683
tep,history_mean,gru_s31337,actuation_idv14,normalized_trapezoid,0.949241256875084
tep,history_mean,gru_s42,actuation_idv14,grid_mean,1.1238329419677606
tep,history_mean,gru_s42,actuation_idv14,grid_min,0.8377484067897661
tep,history_mean,gru_s42,actuation_idv14,normalized_trapezoid,0.9479408415437863
tep,history_mean,gru_s7,actuation_idv14,grid_mean,1.124357265279388
tep,history_mean,gru_s7,actuation_idv14,grid_min,0.8331831055433204
tep,history_mean,gru_s7,actuation_idv14,normalized_trapezoid,0.9465234387065202
