"system","reference","model","domain","severity","skill","ci_low","ci_high","reference_loss","model_loss","n_valid","panel","x"
"mbr","Drift","GRU (seed 42)","obs_noise",0.05,9.3933602957936,7.47222087266687,11.1674718183012,381.373467298524,40.6003235571944,72,"MBR: observation noise",0.05
"mbr","Drift","GRU (seed 42)","obs_noise",0.07,9.07184888990815,7.23707365615712,10.7647561397314,391.460342498117,43.1511092445104,72,"MBR: observation noise",0.07
"mbr","Drift","GRU (seed 42)","obs_noise",0.09,8.72250051672119,6.99047930358253,10.3187004352841,402.679824979686,46.1656407136625,72,"MBR: observation noise",0.09
"mbr","Drift","GRU (seed 42)","obs_noise",0.12,8.20956291141945,6.61858810174782,9.65346429645195,421.050910341414,51.287859644237,72,"MBR: observation noise",0.12
"mbr","Drift","GRU (seed 42)","obs_noise",0.16,7.60533290966741,6.18808018438021,8.88560345545311,447.671706477416,58.8628679105375,72,"MBR: observation noise",0.16
"mbr","Drift","GRU (seed 42)","obs_noise",0.2,7.10686393089007,5.84805845644681,8.22395942155729,476.113791398667,66.9935144430208,72,"MBR: observation noise",0.2
"mbr","Drift","GRU (seed 42)","obs_noise",0.25,6.61309161576389,5.52777167755919,7.56371631640601,513.632802431254,77.6690891756114,72,"MBR: observation noise",0.25
"mbr","Drift","GRU (seed 42)","obs_noise",0.3,6.23095786986198,5.28307368856249,7.07512594674102,552.897947508417,88.7340211659405,72,"MBR: observation noise",0.3
"mbr","Drift","GRU (seed 42)","obs_noise",0.4,5.69342756159299,4.9452370878078,6.36131071656808,635.507620281492,111.621270913945,72,"MBR: observation noise",0.4
"mbr","Drift","GRU (seed 42)","obs_noise",0.5,5.34430091058508,4.7246859234299,5.90844069124648,722.335190760825,135.159902641363,72,"MBR: observation noise",0.5
"mbr","Drift","GRU (seed 42)","obs_noise",0.6,5.10569693603964,4.57701152487672,5.57872932304532,812.408694083438,159.118080109471,72,"MBR: observation noise",0.6
"mbr","Drift","GRU (seed 42)","obs_noise",0.8,4.81101807661008,4.39580955597237,5.17790814646703,999.830032597281,207.82088461862,72,"MBR: observation noise",0.8
"mbr","Drift","GRU (seed 42)","obs_noise",1,4.64484586463264,4.29472272465504,4.94954683664417,1194.36212919926,257.137085709027,72,"MBR: observation noise",1
"mbr","Drift","Ridge","obs_noise",0,4.03411940306397,3.19081555387934,4.8575546728841,366.861630091844,90.9397054071348,72,"MBR: observation noise",0
"mbr","Drift","Ridge","obs_noise",0.005,4.03592978258908,3.19676069813278,4.85450280976905,366.880913764944,90.9036909778908,72,"MBR: observation noise",0.005
"mbr","Drift","Ridge","obs_noise",0.01,4.04104480169834,3.20243985121952,4.85654133526712,367.420753116266,90.9222171854787,72,"MBR: observation noise",0.01
"mbr","Drift","Ridge","obs_noise",0.015,4.04840749894197,3.21056288421133,4.8587539227887,368.384229972819,90.9948492262931,72,"MBR: observation noise",0.015
"mbr","Drift","Ridge","obs_noise",0.02,4.05693934536244,3.22505386934786,4.8658338568273,369.671020377023,91.1206673078808,72,"MBR: observation noise",0.02
"mbr","Drift","Ridge","obs_noise",0.03,4.0747002158123,3.25117172098066,4.87939789648786,372.943938778497,91.5267182923662,72,"MBR: observation noise",0.03
"mbr","Drift","Ridge","obs_noise",0.04,4.09102474231269,3.2667067311244,4.88940553198359,376.902060539347,92.1290102797767,72,"MBR: observation noise",0.04
"mbr","Drift","Ridge","obs_noise",0.05,4.10448154993813,3.28294059303987,4.89519408089761,381.373467298524,92.9163556123847,72,"MBR: observation noise",0.05
"mbr","Drift","Ridge","obs_noise",0.07,4.12032043024562,3.31465063557926,4.89338570562704,391.460342498117,95.0072571115013,72,"MBR: observation noise",0.07
"mbr","Drift","Ridge","obs_noise",0.09,4.12042087490805,3.33831908528551,4.86735560229942,402.679824979686,97.7278382972642,72,"MBR: observation noise",0.09
"mbr","Drift","Ridge","obs_noise",0.12,4.09454495916795,3.36141095361365,4.80262488258808,421.050910341414,102.83216194724,72,"MBR: observation noise",0.12
"mbr","Drift","Ridge","obs_noise",0.16,4.02668895592723,3.35375841501654,4.6760036806048,447.671706477416,111.176132891628,72,"MBR: observation noise",0.16
"mbr","Drift","Ridge","obs_noise",0.2,3.93982408969564,3.32307460181814,4.52649452634913,476.113791398667,120.846459273122,72,"MBR: observation noise",0.2
"mbr","Drift","Ridge","obs_noise",0.25,3.82522620460688,3.25808267952727,4.33827315214721,513.632802431254,134.275144777756,72,"MBR: observation noise",0.25
"mbr","Drift","Ridge","obs_noise",0.3,3.71659164332709,3.20325249896253,4.16082209087413,552.897947508417,148.764782512793,72,"MBR: observation noise",0.3
"mbr","Drift","Ridge","obs_noise",0.4,3.533824182661,3.10203847364502,3.90646165194178,635.507620281492,179.835664547111,72,"MBR: observation noise",0.4
"mbr","Drift","Ridge","obs_noise",0.5,3.39585844869837,3.02221262094023,3.71551645545869,722.335190760825,212.710630220083,72,"MBR: observation noise",0.5
"mbr","Drift","Ridge","obs_noise",0.6,3.29247609657752,2.95320534697985,3.57312040146886,812.408694083438,246.747028756845,72,"MBR: observation noise",0.6
"mbr","Drift","Ridge","obs_noise",0.8,3.15410296840048,2.86474002723086,3.39517610971528,999.830032597281,316.993466165855,72,"MBR: observation noise",0.8
"mbr","Drift","Ridge","obs_noise",1,3.07044232856788,2.8091673530815,3.28974070795068,1194.36212919926,388.986993205093,72,"MBR: observation noise",1
"mbr","AR(1)","GRU (seed 42)","obs_noise",0,3.58473658826742,3.18441562521116,3.97582371303367,135.173673326577,37.708118852858,72,"MBR: observation noise",0
"mbr","AR(1)","GRU (seed 42)","obs_noise",0.005,3.58702703830181,3.19033040457798,3.9767934758393,135.200204681953,37.6914372928621,72,"MBR: observation noise",0.005
"mbr","AR(1)","GRU (seed 42)","obs_noise",0.01,3.58342588945929,3.18991133847015,3.97167262891496,135.281778188148,37.7520792563569,72,"MBR: observation noise",0.01
"mbr","AR(1)","GRU (seed 42)","obs_noise",0.015,3.57405994198986,3.18305572753757,3.9612568548026,135.414131696366,37.8880415813547,72,"MBR: observation noise",0.015
"mbr","AR(1)","GRU (seed 42)","obs_noise",0.02,3.55922688269612,3.17131423138062,3.94304970197709,135.592024573796,38.0959205587604,72,"MBR: observation noise",0.02
"mbr","AR(1)","GRU (seed 42)","obs_noise",0.03,3.51498655400695,3.13442935117103,3.89048202544226,136.065047203014,38.7099765852319,72,"MBR: observation noise",0.03
"mbr","AR(1)","GRU (seed 42)","obs_noise",0.04,3.45496747693497,3.08305740551374,3.82740673116923,136.66821250217,39.5570185289886,72,"MBR: observation noise",0.04
"mbr","AR(1)","GRU (seed 42)","obs_noise",0.05,3.38366196278951,3.01351816747983,3.75041738558908,137.377770497426,40.6003235571944,72,"MBR: observation noise",0.05
"mbr","AR(1)","GRU (seed 42)","obs_noise",0.07,3.22247817105763,2.8764845174246,3.58221089365929,139.053507597358,43.1511092445104,72,"MBR: observation noise",0.07
"mbr","AR(1)","GRU (seed 42)","obs_noise",0.09,3.05432686925464,2.72405230355549,3.39993992754067,141.004956868095,46.1656407136625,72,"MBR: observation noise",0.09
"mbr","AR(1)","GRU (seed 42)","obs_noise",0.12,2.81425330170532,2.50937509784667,3.1437614594487,144.337028341193,51.287859644237,72,"MBR: observation noise",0.12
"mbr","AR(1)","GRU (seed 42)","obs_noise",0.16,2.5374125635954,2.2656385706255,2.8380166470774,149.359380565454,58.8628679105375,72,"MBR: observation noise",0.16
"mbr","AR(1)","GRU (seed 42)","obs_noise",0.2,2.31187291252825,2.06827310902942,2.58823934984019,154.88049135589,66.9935144430208,72,"MBR: observation noise",0.2
"mbr","AR(1)","GRU (seed 42)","obs_noise",0.25,2.08979847875638,1.87626030676073,2.34185884694598,162.312744405586,77.6690891756114,72,"MBR: observation noise",0.25
"mbr","AR(1)","GRU (seed 42)","obs_noise",0.3,1.91817286513923,1.72993286825221,2.14744269685453,170.207191615197,88.7340211659405,72,"MBR: observation noise",0.3
"mbr","AR(1)","GRU (seed 42)","obs_noise",0.4,1.67573670751702,1.523539192466,1.86998867996988,187.047861010199,111.621270913945,72,"MBR: observation noise",0.4
"mbr","AR(1)","GRU (seed 42)","obs_noise",0.5,1.51631103426275,1.38981756211092,1.68198844010452,204.944451764978,135.159902641363,72,"MBR: observation noise",0.5
"mbr","AR(1)","GRU (seed 42)","obs_noise",0.6,1.40543231955026,1.29779680036514,1.5487178110894,223.629692410639,159.118080109471,72,"MBR: observation noise",0.6
"mbr","AR(1)","GRU (seed 42)","obs_noise",0.8,1.26416946522535,1.18203872080546,1.37551315728323,262.72081657098,207.82088461862,72,"MBR: observation noise",0.8
"mbr","AR(1)","GRU (seed 42)","obs_noise",1,1.18012841616895,1.11407111621822,1.27028681732332,303.454781696093,257.137085709027,72,"MBR: observation noise",1
"mbr","AR(1)","Ridge","obs_noise",0,1.48640984398847,1.21498033393459,1.79156769097618,135.173673326577,90.9397054071348,72,"MBR: observation noise",0
"mbr","AR(1)","Ridge","obs_noise",0.005,1.48729059543728,1.21529367534142,1.79210949123504,135.200204681953,90.9036909778908,72,"MBR: observation noise",0.005
"mbr","AR(1)","Ridge","obs_noise",0.01,1.48788472582204,1.21564845441548,1.7926631393798,135.281778188148,90.9222171854787,72,"MBR: observation noise",0.01
"mbr","AR(1)","Ridge","obs_noise",0.015,1.48815161350075,1.21683905092024,1.79277777259813,135.414131696366,90.9948492262931,72,"MBR: observation noise",0.015
"mbr","AR(1)","Ridge","obs_noise",0.02,1.48804907360538,1.21895476782013,1.79324369977697,135.592024573796,91.1206673078808,72,"MBR: observation noise",0.02
"mbr","AR(1)","Ridge","obs_noise",0.03,1.48661559970257,1.21996070836337,1.79018035023099,136.065047203014,91.5267182923662,72,"MBR: observation noise",0.03
"mbr","AR(1)","Ridge","obs_noise",0.04,1.48344383693189,1.21890083114231,1.78455801254268,136.66821250217,92.1290102797767,72,"MBR: observation noise",0.04
"mbr","AR(1)","Ridge","obs_noise",0.05,1.47851010289856,1.21727518048271,1.77499157735481,137.377770497426,92.9163556123847,72,"MBR: observation noise",0.05
"mbr","AR(1)","Ridge","obs_noise",0.07,1.4636093265398,1.21115019541165,1.75539010301035,139.053507597358,95.0072571115013,72,"MBR: observation noise",0.07
"mbr","AR(1)","Ridge","obs_noise",0.09,1.44283306911172,1.19606608432658,1.727648660187,141.004956868095,97.7278382972642,72,"MBR: observation noise",0.09
"mbr","AR(1)","Ridge","obs_noise",0.12,1.40361756096549,1.17048697682039,1.67331080619773,144.337028341193,102.83216194724,72,"MBR: observation noise",0.12
"mbr","AR(1)","Ridge","obs_noise",0.16,1.34344824451707,1.12912816269016,1.59274560504741,149.359380565454,111.176132891628,72,"MBR: observation noise",0.16
"mbr","AR(1)","Ridge","obs_noise",0.2,1.28163036209318,1.0862508863023,1.50922255912089,154.88049135589,120.846459273122,72,"MBR: observation noise",0.2
"mbr","AR(1)","Ridge","obs_noise",0.25,1.20880707054337,1.03727766854148,1.41527979648627,162.312744405586,134.275144777756,72,"MBR: observation noise",0.25
"mbr","AR(1)","Ridge","obs_noise",0.3,1.14413632541398,0.990092965993105,1.32984162854081,170.207191615197,148.764782512793,72,"MBR: observation noise",0.3
"mbr","AR(1)","Ridge","obs_noise",0.4,1.04010437240717,0.913334495678201,1.19465185833211,187.047861010199,179.835664547111,72,"MBR: observation noise",0.4
"mbr","AR(1)","Ridge","obs_noise",0.5,0.963489467136314,0.856549084514205,1.09791026398023,204.944451764978,212.710630220083,72,"MBR: observation noise",0.5
"mbr","AR(1)","Ridge","obs_noise",0.6,0.906311591824731,0.814665205461837,1.02313282013646,223.629692410639,246.747028756845,72,"MBR: observation noise",0.6
"mbr","AR(1)","Ridge","obs_noise",0.8,0.828789374584527,0.754710409265138,0.920270973288534,262.72081657098,316.993466165855,72,"MBR: observation noise",0.8
"mbr","AR(1)","Ridge","obs_noise",1,0.78011549742512,0.716584849830653,0.85522349124334,303.454781696093,388.986993205093,72,"MBR: observation noise",1
"tep","Persistence","GRU (seed 42)","actuation_idv14",0,2.03666325411613,1.94530679251196,2.13223489457426,1.30908275274108,0.642758566049346,80,"TEP: valve sticking",0
"tep","Persistence","GRU (seed 42)","actuation_idv14",0.5,1.47209221117061,1.4332274114955,1.5114974101427,1.91653892432092,1.30191499539073,80,"TEP: valve sticking",0.5
