"system","reference","model","domain","severity","skill","ci_low","ci_high","reference_loss","model_loss","n_valid"
"tep","persistence","MLP (seed 42)","Dynamics / IDV(13)",2,1.68816387684105,1.59017056941509,1.79216719183389,1.39666328224403,0.827326837994848,77
"tep","persistence","MLP (seed 42)","Dynamics / IDV(13)",3,1.49852339978789,1.36060292307731,1.66728800348519,1.6231309495998,1.08315355624714,73
"tep","persistence","MLP (seed 42)","Dynamics / IDV(13)",4,1.3529634628992,1.22229106842124,1.55408245644154,2.01056329552713,1.48604404380499,70
"tep","persistence","MLP (seed 42)","Dynamics / IDV(13)",6,1.40633099452121,1.29888668124896,1.54801566059949,1.75585954801874,1.24853932314599,61
"tep","persistence","Ridge","Dynamics / IDV(13)",0,2.00306990143064,1.910100610093,2.10284993036006,1.30908275274108,0.653538227400901,80
"tep","persistence","Ridge","Dynamics / IDV(13)",0.25,1.99642880440793,1.90422066535426,2.09251056524933,1.31435241683639,0.658351759869634,80
"tep","persistence","Ridge","Dynamics / IDV(13)",0.5,1.97196300549817,1.88150723882507,2.066100456594,1.32308333986877,0.670947343423679,80
"tep","persistence","Ridge","Dynamics / IDV(13)",1,1.89056449410628,1.8011792491833,1.98057793050083,1.35009987557646,0.714125267762786,80
"tep","persistence","Ridge","Dynamics / IDV(13)",1.5,1.80386006586673,1.70877170049078,1.90100952517148,1.36808301674666,0.758419703741993,78
"tep","persistence","Ridge","Dynamics / IDV(13)",2,1.71351919761919,1.60965368150616,1.82317386002792,1.39666328224403,0.815084700646829,77
"tep","persistence","Ridge","Dynamics / IDV(13)",3,1.51888594085384,1.37036234896917,1.69480015486095,1.6231309495998,1.06863254569817,73
"tep","persistence","Ridge","Dynamics / IDV(13)",4,1.36655795815832,1.22978251287225,1.57954499780015,2.01056329552713,1.47126090300387,70
"tep","persistence","Ridge","Dynamics / IDV(13)",6,1.42138587326747,1.31343773553167,1.56364113394356,1.75585954801874,1.23531518150126,61
"tep","persistence","GRU (seed 42)","Observation bias",0,2.03666325411613,1.94530679251196,2.13223489457426,1.30908275274108,0.642758566049346,80
