system,reference,model,domain,crossing,bracket_low,bracket_high,status,last_valid,bootstrap_no_crossing_fraction,conditional_ci_low,conditional_ci_high
tep,persistence,gru_s7,obs_bias,,,,no_crossing_in_valid_grid,2.0,1.0,,
tep,persistence,mlp_s123,obs_bias,,,,no_crossing_in_valid_grid,2.0,1.0,,
tep,persistence,mlp_s2024,obs_bias,,,,no_crossing_in_valid_grid,2.0,1.0,,
tep,persistence,mlp_s31337,obs_bias,,,,no_crossing_in_valid_grid,2.0,1.0,,
tep,persistence,mlp_s42,obs_bias,,,,no_crossing_in_valid_grid,2.0,1.0,,
tep,persistence,mlp_s7,obs_bias,,,,no_crossing_in_valid_grid,2.0,1.0,,
tep,persistence,ridge,obs_bias,,,,no_crossing_in_valid_grid,2.0,0.8995,1.8796137533787942,1.9996003626941556
tep,history_mean,gru_s123,obs_bias,,,,no_crossing_in_valid_grid,2.0,1.0,,
tep,history_mean,gru_s2024,obs_bias,,,,no_crossing_in_valid_grid,2.0,1.0,,
tep,history_mean,gru_s31337,obs_bias,,,,no_crossing_in_valid_grid,2.0,1.0,,
tep,history_mean,gru_s42,obs_bias,,,,no_crossing_in_valid_grid,2.0,1.0,,
tep,history_mean,gru_s7,obs_bias,,,,no_crossing_in_valid_grid,2.0,1.0,,
tep,history_mean,mlp_s123,obs_bias,,,,no_crossing_in_valid_grid,2.0,1.0,,
tep,history_mean,mlp_s2024,obs_bias,,,,no_crossing_in_valid_grid,2.0,1.0,,
